AB型	AB型 🆎
綠	綠 🟩
綠心	綠心 💚
綠書	綠書 📗
綠色	綠色 🟢 🟩
綠色愛心	綠色愛心 💚
綠色書本	綠色書本 📗
綠茶	綠茶 🍵
綠葉蔬菜	綠葉蔬菜 🥬
網球	網球 🎾
綿羊	綿羊 🐏 🐑
線	線 🧵
線圈本	線圈本 🗒
線圈簿	線圈簿 🗒
線團	線團 🧶
線軸	線軸 🧵
線輪	線輪 🧵
緞帶	緞帶 🎀
編程	編程 👩🏻‍💻 👨🏻‍💻
緬甸	緬甸 🇲🇲
縫衣針	縫衣針 🪡
繃帶	繃帶 🤕
織蟀	織蟀 🦗
繩結	繩結 🪢
繪畫	繪畫 🎨
纜車	纜車 🚡
罐頭	罐頭 🥫
置頂	置頂 🔝
置頂箭頭	置頂箭頭 🔝
羅剎國	羅剎國 🇷🇺
羅斯	羅斯 🇷🇺
羅馬尼亞	羅馬尼亞 🇷🇴
羊	羊 🐏 🐑 🐐
美	美 🇺🇸
美人魚	美人魚 🧜🏻‍♀️
美元	美元 💵 💲
美利堅	美利堅 🇺🇸
美利堅合衆國	美利堅合衆國 🇺🇸
美國	美國 🇺🇸
美女	美女 👩🏻 👩
美屬維京羣島	美屬維京羣島 🇻🇮
美屬薩摩亞	美屬薩摩亞 🇦🇸
美屬處女羣島	美屬處女羣島 🇻🇮
美式橄欖球	美式橄欖球 🏈
美洲	美洲 🌎
美洲駝	美洲駝 🦙
美甲	美甲 💅
美金	美金 💵 💲
義肢	義肢 🦿
羽	羽 🪶
羽毛	羽毛 🪶
羽毛球	羽毛球 🏸
翅	翅 🪽
翻手	翻手 🫴
翻白眼	翻白眼 🙄
翼	翼 🪽
老人	老人 👵🏻 👴🏻
老女人	老女人 👵🏻
老婆婆	老婆婆 👵🏻
老師	老師 👩🏻‍🏫 👨🏻‍🏫
老年人	老年人 👵🏻 👴🏻
老廣	老廣 👨🏿
老撾	老撾 🇱🇦
老母	老母 👩🏻
老爺爺	老爺爺 👴🏻
老男人	老男人 👴🏻
老花鏡	老花鏡 👓
老虎	老虎 🐯 🐅
老虎機	老虎機 🎰
老豆	老豆 👨🏻
老阿伯	老阿伯 👴🏻
老阿姨	老阿姨 👵🏻
老鷹	老鷹 🦅
老鼠	老鼠 🐭 🐁 🐀
老鼠夾	老鼠夾 🪤
老鼠籠	老鼠籠 🪤
耳	耳 👂
耳仔	耳仔 👂
耳機	耳機 🎧
耳聾	耳聾 🧏🏻‍♀️ 🧏🏻‍♂️
耳聾女	耳聾女 🧏🏻‍♀️
耳聾男	耳聾男 🧏🏻‍♂️
聖基茨及尼維斯	聖基茨及尼維斯 🇰🇳
聖多美普林西比	聖多美普林西比 🇸🇹
聖巴泰勒米島	聖巴泰勒米島 🇧🇱
聖文森及格瑞那丁	聖文森及格瑞那丁 🇻🇨
聖文森特	聖文森特 🇻🇨
聖皮埃爾及密克隆	聖皮埃爾及密克隆 🇵🇲
聖盧西亞	聖盧西亞 🇱🇨
聖誕	聖誕 🎄
聖誕夫人	聖誕夫人 🤶🏻
聖誕島	聖誕島 🇨🇽
聖誕樹	聖誕樹 🎄
聖誕老人	聖誕老人 🤶🏻 🎅🏻
聖赫勒拿	聖赫勒拿 🇸🇭
聖馬丁島	聖馬丁島 🇸🇽
聖馬力諾	聖馬力諾 🇸🇲
聯合國	聯合國 🇺🇳
聯合王國	聯合王國 🇬🇧
聰明	聰明 😇️
聳肩	聳肩 🤷🏻‍♀️ 🤷 🤷🏻‍♂️
聳肩女	聳肩女 🤷🏻‍♀️
聳肩男	聳肩男 🤷🏻‍♂️
職員	職員 👩🏻‍💼 👨🏻‍💼
聽	聽 👂
聽筒	聽筒 📞
聽診器	聽診器 🩺
肌肉	肌肉 💪
肯亞	肯亞 🇰🇪
肯定	肯定 🙂‍↕️
肯尼亞	肯尼亞 🇰🇪
肺	肺 🫁
肺部	肺部 🫁
背包	背包 🎒
胡蘿蔔	胡蘿蔔 🥕
脣	脣 💋 👄 🫦
脫殼	脫殼 🐣
脫殼而出	脫殼而出 🐣
脫氧核糖核酸	脫氧核糖核酸 🧬
脷	脷 👅
腦	腦 🧠
腦部	腦部 🧠
腳	腳 🦶 🦵
腳印	腳印 👣 🐾
腳底	腳底 🦶
腳板底	腳板底 🦶
腳踏車	腳踏車 🚲
腿	腿 🦵
膚色	膚色 🏻 🏼 🏽 🏾 🏿
膠囊	膠囊 💊
膠布	膠布 🩹
膠拖	膠拖 🩴
膠桶	膠桶 🪣
膠片	膠片 🎞
膥	膥 🥚
膽怯	膽怯 😨
自動取款機	自動取款機 🏧
自動提款機	自動提款機 🏧
自拍	自拍 🤳
自由女神	自由女神 🗽
自由女神像	自由女神像 🗽
自行車	自行車 🚲
自鳴得意	自鳴得意 🤗
臭鼬	臭鼬 🦨
致命	致命 ☠️
致敬	致敬 🫡
臺	臺 🇹🇼
臺曆	臺曆 📆
臺灣	臺灣 🇹🇼
臺球	臺球 🎱
臺鐘	臺鐘 🕰️
舉手	舉手 ✋ 🙋🏻‍♀️ 🙋🏻‍♂️
舉手女	舉手女 🙋🏻‍♀️
舉手男	舉手男 🙋🏻‍♂️
舉重	舉重 🏋️
舉重女	舉重女 🏋️‍♀️
舉重男	舉重男 🏋️‍♂️
舌	舌 👅
舌頭	舌頭 👅
舒服	舒服 ☺️ 🥰
舞女	舞女 💃🏻
舞蹈	舞蹈 💃🏻 🕺🏻
舞蹈家	舞蹈家 💃🏻 🕺🏻
航天員	航天員 👩🏻‍🚀 👨🏻‍🚀
船	船 ⛵️ 🛳 🚢
色	色 🎲
色仔	色仔 🎲
色士風	色士風 🎷
色子	色子 🎲
色拉	色拉 🥗
芒果	芒果 🥭
芙蓉	芙蓉 🌺
芙蓉花	芙蓉花 🌺
芝士	芝士 🧀
芝士火鍋	芝士火鍋 🫕
芬蘭	芬蘭 🇫🇮
芭蕾	芭蕾 🩰
芭蕾鞋	芭蕾鞋 🩰
花	花 💐 🌷 🌹 🌺 🌸 🌼
花旗	花旗 🇺🇸
花旗國	花旗國 🇺🇸
花朵	花朵 🌷 🌹 🌺 🌸 🌼
花束	花束 💐
花椰菜	花椰菜 🥦
花灑	花灑 🚿
花生	花生 🥜
花癡	花癡 😍
花癡貓	花癡貓 😻
花紙牌	花紙牌 🎴
花菜	花菜 🥦
芳草	芳草 🌿
苗	苗 🌱
若有所思	若有所思 🤔
苦惱	苦惱 😖
苦瓜面口	苦瓜面口 😒
英	英 🇬🇧
英吉利	英吉利 🇬🇧
英國	英國 🇬🇧
英屬印度洋領地	英屬印度洋領地 🇮🇴
英屬維京羣島	英屬維京羣島 🇻🇬
英屬處女羣島	英屬處女羣島 🇻🇬
英文輸入	英文輸入 🔤
英文鍵盤	英文鍵盤 🔤
英格蘭	英格蘭 🏴󠁧󠁢󠁥󠁮󠁧󠁿
英鎊	英鎊 💷
英雄	英雄 🦸🏻‍♀️ 🦸🏻‍♂️
茄	茄 🍆
茄子	茄子 🍆
茄瓜	茄瓜 🍆
茅屋	茅屋 🛖
茅棚	茅棚 🛖
茶	茶 🫖 🍵
茶壺	茶壺 🫖
茶杯	茶杯 🍵
草	草 🌿 ☘️ 🍀
草帽	草帽 👒
草莓	草莓 🍓
荒島	荒島 🏝
荒漠	荒漠 🏜
荷	荷 🇳🇱
荷屬聖馬丁	荷屬聖馬丁 🇸🇽
荷蘭	荷蘭 🇳🇱
莫桑比克	莫桑比克 🇲🇿
菇	菇 🍄 🍄‍🟫
菜	菜 🥬
菜椒	菜椒 🫑
菜花	菜花 🥦
菠蘿	菠蘿 🍍
菱形點心鑽	菱形點心鑽 💠
菲律賓	菲律賓 🇵🇭
菲林	菲林 🎞
菸	菸 🚬
萊索托	萊索托 🇱🇸
萎	萎 🥀
萬字夾	萬字夾 📎 🖇
萬聖節	萬聖節 🎃
落大水	落大水 🌧
落大雨	落大雨 🌧
落水	落水 🌧
落葉	落葉 🍃 🍂
落雨	落雨 🌧
落雪	落雪 🌨 ❄️
葡	葡 🇵🇹
葡萄	葡萄 🍇
葡萄牙	葡萄牙 🇵🇹
葵扇	葵扇 ♠️
葵花	葵花 🌻
蒙	蒙 🇲🇳
蒙古	蒙古 🇲🇳
蒙古國	蒙古國 🇲🇳
蒙特塞拉特	蒙特塞拉特 🇲🇸
蒜	蒜 🧄
蒜頭	蒜頭 🧄
蒲隆地	蒲隆地 🇧🇮
蒸桑拿	蒸桑拿 🧖🏻‍♀️ 🧖🏻‍♂️
蒸氣火車	蒸氣火車 🚂
蒸餾器	蒸餾器 ⚗️
蒼蠅	蒼蠅 🪰
蒼鷹	蒼鷹 🦅
蓋飯	蓋飯 🥘 🍛
蓮	蓮 🪷
蓮花	蓮花 🪷
蓮花座	蓮花座 🧘‍♀️ 🧘 🧘‍♂️
蓮花座女	蓮花座女 🧘‍♀️
蓮花座男	蓮花座男 🧘‍♂️
蓮蓬頭	蓮蓬頭 🚿
蔬菜	蔬菜 🥬
蕉	蕉 🍌
薄餅	薄餅 🥞
薑	薑 🫚
薩克斯	薩克斯 🎷
薩克斯風	薩克斯風 🎷
薩摩亞	薩摩亞 🇼🇸
薩爾瓦多	薩爾瓦多 🇸🇻
薯仔	薯仔 🥔
薯條	薯條 🍟
藍	藍 🟦
藍啤梨	藍啤梨 🫐
藍心	藍心 💙
藍書	藍書 📘
藍色	藍色 🔵 🟦
藍色大菱形	藍色大菱形 🔷
藍色大階磚	藍色大階磚 🔷
藍色小菱形	藍色小菱形 🔹
藍色小階磚	藍色小階磚 🔹
藍色愛心	藍色愛心 💙
藍色書本	藍色書本 📘
藍草莓	藍草莓 🫐
藍莓	藍莓 🫐
藝人	藝人 👩🏻‍🎤 👨🏻‍🎤
藝術家	藝術家 👩🏻‍🎨 👨🏻‍🎨
藥	藥 💊
藥丸	藥丸 💊
藥草	藥草 🌿
蘇丹	蘇丹 🇸🇩
蘇格蘭	蘇格蘭 🏴󠁧󠁢󠁳󠁣󠁴󠁿
蘇蝦	蘇蝦 👶🏻
蘇里南	蘇里南 🇸🇷
蘋果	蘋果 🍏 🍎
蘑菇	蘑菇 🍄 🍄‍🟫
虎	虎 🐯 🐅
虎頭	虎頭 🐯
處女座	處女座 ♍️
虛僞	虛僞 🥸
號角	號角 📯
虧凸月	虧凸月 🌖
虹	虹 🌈
虺	虺 🐍
蚊	蚊 🦟
蚊子	蚊子 🦟
蚊蟲	蚊蟲 🦟
蚯蚓	蚯蚓 🪱
蛇	蛇 🐍
蛇夫座	蛇夫座 ⛎
蛋	蛋 🥚
蛋奶凍	蛋奶凍 🍮
蛋糕	蛋糕 🎂
蛐蛐	蛐蛐 🦗
蛙	蛙 🐸
蛛	蛛 🕷️
蛤乸	蛤乸 🐸
蛤𧊅	蛤𧊅 🐸
蜂	蜂 🐝
蜂蜜	蜂蜜 🍯
蜘蛛	蜘蛛 🕷️
蜘蛛網	蜘蛛網 🕸️
蜜桃	蜜桃 🍑
蜜糖	蜜糖 🍯
蜜蜂	蜜蜂 🐝
蝙	蝙 🦇
蝙蝠	蝙蝠 🦇
蝠	蝠 🦇
蝦	蝦 🦐 🦞 🍤
蝦公	蝦公 🦐 🦞 🍤
蝦尾	蝦尾 🍤
蝴蝶	蝴蝶 🦋
蝴蝶結	蝴蝶結 🎀
蝴蝶脆餅	蝴蝶脆餅 🥨
蝴蝶餅	蝴蝶餅 🥨
蝶	蝶 🦋
蝸	蝸 🐌
蝸牛	蝸牛 🐌
螃蟹	螃蟹 🦀
融化	融化 🫠
螞蟻	螞蟻 🐜
螺絲	螺絲 🔩
螺絲刀	螺絲刀 🪛
螺絲批	螺絲批 🪛
螻蛄	螻蛄 🦗
蟀	蟀 🦗
蟋蟀	蟋蟀 🦗
蟑	蟑 🪳
蟑螂	蟑螂 🪳
蟠桃	蟠桃 🍑
蟲	蟲 🪱 🐛
蟹	蟹 🦀
蟻	蟻 🐜
蠄蟧	蠄蟧 🕷️
蠄蟧網	蠄蟧網 🕸️
蠅	蠅 🪰
蠍	蠍 🦂
蠍子	蠍子 🦂
蠔	蠔 🦪
蠕蟲	蠕蟲 🪱
蠟燭	蠟燭 🕯
蠟筆	蠟筆 🖍
血型	血型 🅰️ 🅱️ 🆎 🅾️
血液型號	血液型號 🅰️ 🅱️ 🆎 🅾️
血滴	血滴 🩸
行事曆	行事曆 📅
行人	行人 🚶🏻‍♀️ 🚶🏻‍♂️ 🚶🏻‍♀️‍➡️ 🚶🏻‍♂️‍➡️
行人女	行人女 🚶🏻‍♀️ 🚶🏻‍♀️‍➡️
行人男	行人男 🚶🏻‍♂️ 🚶🏻‍♂️‍➡️
行人禁止	行人禁止 🚷
行人禁止通行	行人禁止通行 🚷
行動電話	行動電話 📱
行星	行星 🪐
行李	行李 🧳
行李寄存	行李寄存 🛅
行李箱	行李箱 🧳
行李領取	行李領取 🛄
行雷	行雷 🌩
行雷閃電	行雷閃電 🌩
衛兵	衛兵 💂🏻‍♀️ 💂🏻 💂🏻‍♂️
衛星	衛星 🛰
衛星天線	衛星天線 📡
衛星通訊	衛星通訊 📡
衛星鑊	衛星鑊 📡
衛生間	衛生間 🚽 🚾 🚻
衝浪	衝浪 🏄
衝浪女	衝浪女 🏄‍♀️
衝浪男	衝浪男 🏄‍♂️
表演藝術	表演藝術 🎭
袋	袋 🛍
袋鼠	袋鼠 🦘
袋鼠國	袋鼠國 🇦🇺
裁判	裁判 🕴️
裇衫	裇衫 👔
裙	裙 👗
褐	褐 🟫
褐心	褐心 🤎
褐色	褐色 🟤 🟫
褐色愛心	褐色愛心 🤎
褪前	褪前 ⏭
褪後	褪後 ⏮
褲	褲 👖
襪	襪 🧦
襯衣	襯衣 👔
襯衫	襯衫 👔
西式餡餅	西式餡餅 🥧
西撒哈拉	西撒哈拉 🇪🇭
西班牙	西班牙 🇪🇸
西瓜	西瓜 🍉
西紅柿	西紅柿 🍅
西藍花	西藍花 🥦
西蘭花	西蘭花 🥦
西裝	西裝 🤵🏻‍♂️
西部牛仔	西部牛仔 🤠
覆手	覆手 🫳
親吻	親吻 👩🏻‍❤️‍💋‍👨🏻
親吻人	親吻人 💏
親吻女	親吻女 👩‍❤️‍💋‍👩
親吻男	親吻男 👨‍❤️‍💋‍👨
覺覺豬	覺覺豬 😴 💤
觀光列車	觀光列車 🚟
角	角 🥟
角子	角子 🥟
解鎖	解鎖 🔓
觸角手勢	觸角手勢 🤘
計時	計時 ⌛️ ⏳
計程車	計程車 🚕 🚖
訊號	訊號 📶
記事本	記事本 🗒
記事簿	記事簿 🗒
許可	許可 🙆🏻‍♀️ 🙆🏻‍♂️
許願樹	許願樹 🎋
註冊	註冊 ®️
註冊商標	註冊商標 ®️
詛咒	詛咒 🤬
試管	試管 🧪
話筒	話筒 🎤
語塞	語塞 😒 🫥 😐
語言	語言 🌐
誤	誤 ❌ ❎
調皮	調皮 😉 😜 🤪
調羹	調羹 🥄
調色板	調色板 🎨
請	請 💁🏻‍♀️ 💁🏻‍♂️
請求	請求 🥺
諗	諗 🤔
諗嘢	諗嘢 🤔
諾福克島	諾福克島 🇳🇫
講多無謂	講多無謂 🫤
講大話	講大話 🤥
講笑	講笑 😝
講話	講話 🗣️
證人	證人 👁‍🗨
譜	譜 🎼
警告	警告 ⚠️
警察	警察 👮🏻‍♀️ 👮🏻‍♂️
警燈	警燈 🚨
警示燈	警示燈 🚨
警車	警車 🚓 🚔
警車燈	警車燈 🚨
護士	護士 👩🏻‍⚕️ 👨🏻‍⚕️
護士服	護士服 🥼
護士袍	護士袍 🥼
護照控制	護照控制 🛂
護目鏡	護目鏡 🥽
讀信	讀信 📨
變色龍	變色龍 🦎
讕叻	讕叻 😇️
讚	讚 👍
豆	豆 🫘
豌豆	豌豆 🫛
豌豆莢	豌豆莢 🫛
豎中指	豎中指 🖕
豎拇指	豎拇指 👍
豕	豕 🐷 🐖
豚	豚 🐷 🐡 🐬 🐖
象	象 🐘
象牙海岸	象牙海岸 🇨🇮
豨	豨 🐷 🐖
豬	豬 🐷 🐖
豬豬	豬豬 🐷 🐖
豬頭	豬頭 🐷
豬鼻	豬鼻 🐽
豭	豭 🐷 🐖
豹	豹 🐆
貓	貓 🐱 🐈 🐈‍⬛
貓仔	貓仔 🐱 🐈 🐈‍⬛
貓咪	貓咪 🐱 🐈 🐈‍⬛
貓熊	貓熊 🐼
貓貓	貓貓 🐱 🐈 🐈‍⬛
貓頭	貓頭 🐱
貓頭鷹	貓頭鷹 🦉
貝寧	貝寧 🇧🇯
貝殼	貝殼 🐚
貨幣兌換	貨幣兌換 💱
貨車	貨車 🚚 🚛
貨運	貨運 🚚
貴賓犬	貴賓犬 🐩
貴賓狗	貴賓狗 🐩
買餸	買餸 🛒
買餸車	買餸車 🛒
賀禮	賀禮 🎁️
資料夾	資料夾 📁 📂 🗂
資訊	資訊 ℹ️
賓館	賓館 🏨
賞月	賞月 🎑
賬本	賬本 📒
賬簿	賬簿 📒
購物	購物 🛍 🛒
購物袋	購物袋 🛍
購物車	購物車 🛒
賽艇	賽艇 🚤
賽車	賽車 🏎 🏁
賽車比賽	賽車比賽 🏁
賽馬	賽馬 🏇
贊比亞	贊比亞 🇿🇲
赤	赤 🟥
赤色	赤色 🔴 🟥
赤道幾內亞	赤道幾內亞 🇬🇶
起火	起火 🔥 ❤️‍🔥
起飛	起飛 🛫
超市	超市 🛒
超級市場	超級市場 🛒
超級英雄	超級英雄 🦸🏻‍♀️ 🦸🏻‍♂️
越南	越南 🇻🇳
越野車	越野車 🚙
足印	足印 👣 🐾
足球	足球 ⚽️
足跡	足跡 👣 🐾
跌	跌 📉
跑步	跑步 🏃🏻‍♀️ 🏃🏻‍♂️ 🏃🏻‍♀️‍➡️ 🏃🏻‍♂️‍➡️
跑步女	跑步女 🏃🏻‍♀️ 🏃🏻‍♀️‍➡️
跑步男	跑步男 🏃🏻‍♂️ 🏃🏻‍♂️‍➡️
跑馬	跑馬 🐎
跨性別	跨性別 ⚧ 🏳️‍⚧️
跨性別旗	跨性別旗 🏳️‍⚧️
跪地	跪地 🧎🏻‍♀️ 🧎🏻‍♂️ 🧎🏻‍♀️‍➡️ 🧎🏻‍♂️‍➡️
跪地女	跪地女 🧎🏻‍♀️ 🧎🏻‍♀️‍➡️
跪地男	跪地男 🧎🏻‍♂️ 🧎🏻‍♂️‍➡️
路人	路人 🚶🏻‍♀️ 🚶🏻‍♂️ 🚶🏻‍♀️‍➡️ 🚶🏻‍♂️‍➡️
路人女	路人女 🚶🏻‍♀️ 🚶🏻‍♀️‍➡️
路人男	路人男 🚶🏻‍♂️ 🚶🏻‍♂️‍➡️
路障	路障 🚧
跳傘	跳傘 🪂
跳舞	跳舞 💃🏻 🕺🏻
踢波	踢波 ⚽️
踩單車	踩單車 🚴
蹤跡	蹤跡 👣 🐾
身份證	身份證 🪪
車	車 🚗 🚘
車厘子	車厘子 🍒
車呔	車呔 🛞
車站	車站 🚉
車胎	車胎 🛞
車輪	車輪 🛞
車轆	車轆 🛞
軌跡球	軌跡球 🖲
軌道	軌道 🛤
軌道車	軌道車 🚃
軍功	軍功 🎖
軍功勳章	軍功勳章 🎖
軟盤	軟盤 💾
軟碟	軟碟 💾
較深膚色	較深膚色 🏾
較淺膚色	較淺膚色 🏼
輕軌	輕軌 🚈
輕軌電車	輕軌電車 🚈
輪	輪 🛞
輪椅	輪椅 👩🏻‍🦽 👨🏻‍🦽 👩🏻‍🦽‍➡️ 👨🏻‍🦽‍➡️ 🦽 ♿️
輪椅人	輪椅人 🧑‍🦽 🧑‍🦽‍➡️
輪椅女	輪椅女 👩🏻‍🦽 👩🏻‍🦽‍➡️
輪椅男	輪椅男 👨🏻‍🦽 👨🏻‍🦽‍➡️
輪渡	輪渡 ⛴
輪滑鞋	輪滑鞋 🛼
輪胎	輪胎 🛞
輪船	輪船 🛳 🚢
輻射	輻射 ☢️
轆	轆 🛞
轉向上方	轉向上方 ⤴️
轉向下方	轉向下方 ⤵️
轉向前方	轉向前方 ⤴️
轉向後方	轉向後方 ⤵️
轎車	轎車 🚗 🚘
辣	辣 🥵
辣椒	辣椒 🌶
辦公大樓	辦公大樓 🏢
辦公樓	辦公樓 🏢
農夫車	農夫車 🛻
農戶	農戶 👩🏻‍🌾 👨🏻‍🌾
農民	農民 👩🏻‍🌾 👨🏻‍🌾
近視眼鏡	近視眼鏡 👓
返回箭頭	返回箭頭 🔙
迦納	迦納 🇬🇭
迷你光盤	迷你光盤 💽
迷你光碟	迷你光碟 💽
迷戀	迷戀 😍
迷霧	迷霧 😶‍🌫️ 🌫
逆時針箭頭	逆時針箭頭 🔄
連接	連接 🔗
連衣裙	連衣裙 👗
連體衣	連體衣 🩱
遊戲手柄	遊戲手柄 🎮
遊戲牌	遊戲牌 🎴
遊樂園	遊樂園 🎡 🎢 🎠
遊樂場	遊樂場 🎡 🎢 🎠
運動場	運動場 🏟
運動帽	運動帽 🧢
運動背心	運動背心 🎽
運動衫	運動衫 🎽
運動鞋	運動鞋 👟
運動館	運動館 🏟
運貨	運貨 🚚
過山車	過山車 🎢
道教	道教 ☯️
道路施工	道路施工 🚧
遮	遮 🌂 ☔️ ☂️
遮雨	遮雨 ☔️
選擇	選擇 ☑️ 🔘
遺傳物質	遺傳物質 🧬
邊爐	邊爐 🫕 🍲
邪惡	邪惡 😈 👿
部分交替	部分交替 〽️
部分交替標誌	部分交替標誌 〽️
郵件	郵件 ✉️ 💌
郵局	郵局 🏤
郵政號角	郵政號角 📯
郵筒	郵筒 📮
郵箱	郵箱 📮
郵輪	郵輪 🛳
鄙視	鄙視 👎 🖕
酒店	酒店 🏨
酒杯	酒杯 🍷 🥃
酥餅	酥餅 🍰
酪梨	酪梨 🥑
醒目	醒目 😇️
醫生	醫生 👩🏻‍⚕️ 👨🏻‍⚕️
醫療車	醫療車 🚑
醫護	醫護 👩🏻‍⚕️ 👨🏻‍⚕️
醫護人員	醫護人員 👩🏻‍⚕️ 👨🏻‍⚕️
醫院	醫院 🏥
釋然	釋然 😌
野營	野營 🏕 ⛺️
野牛	野牛 🦬
野豬	野豬 🐗
野豬頭	野豬頭 🐗
量體溫	量體溫 🤒
金牌	金牌 🥇
金牛座	金牛座 ♉️
金髮	金髮 👱🏻‍♀️
金髮女	金髮女 👱🏻‍♀️
金髮女郎	金髮女郎 👱🏻‍♀️
金髮妹	金髮妹 👱🏻‍♀️
金髮男	金髮男 👱🏻‍♂️
釘	釘 📌
針	針 🪡
針筒	針筒 💉
針線	針線 🪡
釣	釣 🎣
釣魚	釣魚 🎣
鈎	鈎 🪝
鈴	鈴 🛎 🔔
鉛筆	鉛筆 ✏️
鉸剪	鉸剪 ✂️
鉸接式貨車	鉸接式貨車 🚛
鉸接貨車	鉸接貨車 🚛
銀河	銀河 🌌
銀河系	銀河系 🌌
銀漢	銀漢 🌌
銀牌	銀牌 🥈
銀紙	銀紙 💵
銀行	銀行 🏦
銀行卡	銀行卡 💳
銀行咭	銀行咭 💳
銀髮	銀髮 👩🏻‍🦳
銀髮女	銀髮女 👩🏻‍🦳
銀髮男	銀髮男 👨🏻‍🦳
銃	銃 🔫
銃械	銃械 🔫
銅牌	銅牌 🥉
鋸	鋸 🪚
鋼琴	鋼琴 🎹
鋼琴鍵	鋼琴鍵 🎹
鋼筆	鋼筆 🖋 ✒️
錄像	錄像 📹 🎥
錄像帶	錄像帶 📼
錄像機	錄像機 🎥
錄影	錄影 📹 🎥
錄影帶	錄影帶 📼
錄影機	錄影機 🎥
錄音	錄音 🎙 ⏺
錄音咪	錄音咪 🎙
錘	錘 🔨 ⚒
錢	錢 🫰 💵 💰
錢包	錢包 👛
錢夾	錢夾 👛
錢幣	錢幣 🪙
錢袋	錢袋 💰
錢財	錢財 💰
錢迷	錢迷 🤑
錢銀	錢銀 🫰 💵 💰
錨	錨 ⚓️
錫克教	錫克教 🪯
錯	錯 ❌ ❎
錯愕	錯愕 😦
錯誤	錯誤 ❌ ❎
錶	錶 ⌚️ ⏱
鍵盤	鍵盤 ⌨️
鍾意	鍾意 🥰 😍
鎖	鎖 🔒
鎖匙	鎖匙 🔑 🗝 🔐
鎖定	鎖定 🔒
鎬	鎬 ⛏
鏈	鏈 ⛓ ⛓️‍💥
鏈接	鏈接 🔗
鏡	鏡 🪞
鏡球	鏡球 🪩
鐘	鐘 ⏰ 🕰️ 🔔
鐘仔	鐘仔 🛎 🔔
鐘鈴	鐘鈴 🛎 🔔
鐵索	鐵索 🔗
鐵路	鐵路 🛤
鐵軌	鐵軌 🛤
鐵道車	鐵道車 🚃
鐵鈎	鐵鈎 🪝
鐵錘	鐵錘 🔨 ⚒
鐵鎬	鐵鎬 ⛏
鐵鏈	鐵鏈 ⛓ ⛓️‍💥
鑊形天線	鑊形天線 📡
鑽戒	鑽戒 💍
鑽石	鑽石 💎
長曲棍球	長曲棍球 🥍
長條圖	長條圖 📊
長笛	長笛 🪈
長筒靴	長筒靴 👢
長者	長者 👵🏻 👴🏻
長褲	長褲 👖
長頸鹿	長頸鹿 🦒
長鼓	長鼓 🪘
門	門 🚪
門匙	門匙 🔑 🗝
門口	門口 🚪
門戶	門戶 🚪
門松	門松 🎍
門票	門票 🎫 🎟
閃亮	閃亮 ✨
閃亮之心	閃亮之心 💖
閃光	閃光 ✨
閃光燈	閃光燈 📸
閃耀	閃耀 ✨
閃閃之心	閃閃之心 💖
閃電	閃電 ⚡️ 🌩
閉翳	閉翳 🥲
開啓箭頭	開啓箭頭 🔛
開始播放	開始播放 ▶️
開始暫停	開始暫停 ⏯
開心	開心 🤩 🥳
開懷大笑	開懷大笑 😃
開曼	開曼 🇰🇾
開曼羣島	開曼羣島 🇰🇾
開槍	開槍 🔫
開發者	開發者 👩🏻‍💻 👨🏻‍💻
開眼𡃶	開眼𡃶 😗
開鎖	開鎖 🔓
開香檳	開香檳 🍾
間尺	間尺 📏
閨蜜	閨蜜 👩‍❤️‍👩
關島	關島 🇬🇺
關東煮	關東煮 🍢
關機	關機 📴
關機模式	關機模式 📴
防護鏡	防護鏡 🥽
阿伯	阿伯 👴🏻
阿公	阿公 👴🏻
阿塞拜疆	阿塞拜疆 🇦🇿
阿婆	阿婆 👵🏻
阿媽	阿媽 👩🏻
阿嫲	阿嫲 👵🏻
阿嬸	阿嬸 👵🏻
阿富汗	阿富汗 🇦🇫
阿拉丁燈神	阿拉丁燈神 🧞‍♀️ 🧞‍♂️
阿拉伯聯合酋長國	阿拉伯聯合酋長國 🇦🇪
阿拉伯薄麪包三明治	阿拉伯薄麪包三明治 🥙
阿曼	阿曼 🇴🇲
阿根廷	阿根廷 🇦🇷
阿爸	阿爸 👨🏻
阿爺	阿爺 👴🏻
阿爾及利亞	阿爾及利亞 🇩🇿
阿爾巴尼亞	阿爾巴尼亞 🇦🇱
阿聯酋	阿聯酋 🇦🇪
阿魯巴	阿魯巴 🇦🇼
降落	降落 🛬
降落傘	降落傘 🪂
降雨	降雨 🌧
降雪	降雪 🌨
陣風	陣風 💨
除	除 ➗
除以	除以 ➗
除號	除號 ➗
陰陽	陰陽 ☯️
陰險	陰險 😏
陽光	陽光 ☀️
階磚	階磚 ♦️
隨機	隨機 🔀
隱私	隱私 ㊙️
隱秘	隱秘 🔏
雀仔	雀仔 🐦
雀仔竇	雀仔竇 🪹
雀仔膥	雀仔膥 🪺
雀仔蛋	雀仔蛋 🪺
雀仔頭	雀仔頭 🐦
雀竇	雀竇 🪹
雕	雕 🦅
雙人	雙人 👥
雙兔人	雙兔人 👯
雙兔男	雙兔男 👯‍♂️
雙嘆號	雙嘆號 ‼️
雙子座	雙子座 ♊️
雙孢蘑菇	雙孢蘑菇 🍄‍🟫
雙心	雙心 💕 💞
雙感嘆號	雙感嘆號 ‼️
雙手	雙手 🤲 👐
雙手合十	雙手合十 🙏
雙手向上	雙手向上 🤲
